Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL810962,D02,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_140845,LOSS,1550.0,-14.353300433096592,0.9937053289339757,0.9921055438450533,0.0,,
AL810962,D02,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_140845,LOSS,1550.0,-13.68226427724585,0.9897318820656357,0.9928079189364852,0.0,,
AL810962,D02,SIPP21e,0,0,(0|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_140845,LOSS,1310.0,-21.031423696847924,0.9958386451749246,0.9774203208358105,0.0,,
AL810962,D02,SIPP21e,3,0,(3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_140845,LOSS,1310.0,-23.977510794298723,0.99536428358268,0.9036899206018755,0.0,,
AL810962,D02,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-12.789397026659572,0.9698374320078224,0.9764947441862053,0.0,,
AL810962,D02,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-14.10442016486195,0.9935604612232333,0.9917457603203691,0.0,,
AL810962,D02,SIPP21e,0,3,(0|3),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-13.283817197137978,0.984842673799793,0.9869223113453162,0.0,,
AL810962,D02,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-13.662750201154267,0.9902027953022137,0.9862388608646118,0.0,,
AL810962,D02,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-13.687297009770873,0.9893806323401302,0.9916605165077318,0.0,,
AL810962,D02,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-13.135310508383554,0.9560176998484111,0.9853318206564372,0.0,,
AL810962,D02,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_161828,LOSS,1550.0,-12.821742730069673,0.9707375978536754,0.9887614937835442,0.0,,
